Unnamed: 0,title,release_year,locations,director,writer,imdb_rating,genres,type,release_decade,longitude,latitude,min_distance_to_tourist_spot,is_tourist_spot,location_cluster,search_key
1885,Earth Mama,2023,"Bayside Drive, Treasure Island",Savanah Leaf,Savanah Leaf,6.6,Drama,movie,2020,-122.371609994,37.816589998,606.3286852132815,1,0,"earth mama 2023 bayside drive, treasure island savanah leaf savanah leaf drama 2020"
1044,Big Sur,2013,"Tosca Café (242 Columbus Avenue, North Beach)",Michael Polish,Jack Kerouac & Michael Polish,5.7,Drama  Romance,movie,2010,-122.40574102,37.797584011,364.5495976267715,1,12,"big sur 2013 tosca café (242 columbus avenue, north beach) michael polish jack kerouac & michael polish drama  romance 2010"
2003,The Master,2012,Pier 7/ Embarcadero,Paul Thomas Anderson,Paul Thomas Anderson,7.1,Drama  History,movie,2010,-122.393816245,37.79527516,176.3953956611914,1,2,the master 2012 pier 7/ embarcadero paul thomas anderson paul thomas anderson drama  history 2010
113,Hemingway & Gelhorn,2012,Muni Metro East (501 Cesar Chavez),Philip Kaufman,Jerry Stahl & Barbara Turner,6.3,Biography  Drama  Romance,tv movie,2010,-122.382777036,37.750036995,2140.329328652983,0,-1,hemingway & gelhorn 2012 muni metro east (501 cesar chavez) philip kaufman jerry stahl & barbara turner biography  drama  romance 2010
1787,I's,2011,1 Post Street,Chris Edgette,Kyle Tuck,8.4,Adventure Drama Sci-Fi,movie,2010,-122.402689002,37.78877702,321.7994754752154,1,16,i's 2011 1 post street chris edgette kyle tuck adventure drama sci-fi 2010
1082,Zodiac,2007,SF Chronicle Building (901 Mission St),David Fincher,James Vanderbilt,7.7,Crime  Drama  Mystery  Thriller,movie,2000,-122.40687,37.7824,538.8511671708146,1,17,zodiac 2007 sf chronicle building (901 mission st) david fincher james vanderbilt crime  drama  mystery  thriller 2000
21,Rent,2005,Treasure Island,Chris Columbus,Stephen Chbosky,6.8,Drama  Musical  Romance,movie,2000,-122.37087,37.82489,600.0684478973598,1,0,rent 2005 treasure island chris columbus stephen chbosky drama  musical  romance 2000
330,What the Bleep Do We Know,2004,Golden Gate National Recreation Area,William Arntz,William Arntz & Betsy Chasse,5.2,Documentary Comedy Drama Fantasy Mystery Sci-Fi,documentary,2000,-122.4283,37.80576,345.9150670822555,1,4,what the bleep do we know 2004 golden gate national recreation area william arntz william arntz & betsy chasse documentary comedy drama fantasy mystery sci-fi 2000
1767,Red Diaper Baby,2004,"Magic Theater (Fort Mason, Golden Gate National Recreation Area)",Doug Pray,Josh Kornbluth,7.7,Comedy,movie,2000,-122.4283,37.80576,345.9150670822555,1,4,"red diaper baby 2004 magic theater (fort mason, golden gate national recreation area) doug pray josh kornbluth comedy 2000"
339,50 First Dates,2004,Rainforest Café (145 Jefferson Street),Peter Segal,George Wing,6.8,Comedy  Drama  Romance,movie,2000,-122.41464696,37.808061013,370.1050309811846,1,5,50 first dates 2004 rainforest café (145 jefferson street) peter segal george wing comedy  drama  romance 2000
1643,Under the Tuscan Sun,2003,Mecca Restaurant (2029 Market Street),Audrey Wells,Audrey Wells,6.7,Comedy  Drama  Romance,movie,2000,-122.427417041,37.768310005,885.3547237361136,1,3,under the tuscan sun 2003 mecca restaurant (2029 market street) audrey wells audrey wells comedy  drama  romance 2000
